"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5388","Validate Extended button under Detail Slot section","chromium","Tue Apr 22 13:21:56 BST 2025","passed","Tue Apr 22 13:22:02 BST 2025","","","",""
"","6777","Validate Cancel and Save buttons on Content Slot Page","chromium","Tue Apr 22 13:21:50 BST 2025","passed","Tue Apr 22 13:21:57 BST 2025","","","",""
"","5492","Validate Customer PO section info Slot","chromium","Tue Apr 22 13:21:45 BST 2025","passed","Tue Apr 22 13:21:50 BST 2025","","","",""
"","5893","Validate Detail Slot (Add Basket Section) in Order Capture Page","chromium","Tue Apr 22 13:21:50 BST 2025","passed","Tue Apr 22 13:21:56 BST 2025","","","",""
"","5569","Validate Submit button","chromium","Tue Apr 22 13:21:34 BST 2025","passed","Tue Apr 22 13:21:39 BST 2025","","","",""
"","5541","Validate Payment section info Slot","chromium","Tue Apr 22 13:21:39 BST 2025","passed","Tue Apr 22 13:21:45 BST 2025","","","",""
"","5334","Validate filter buttons on Order Capture Page","chromium","Tue Apr 22 13:21:45 BST 2025","passed","Tue Apr 22 13:21:50 BST 2025","","","",""
"","6215","Order Capture - Full Page Screenshot","chromium","Tue Apr 22 13:21:27 BST 2025","passed","Tue Apr 22 13:21:33 BST 2025","","","",""
"","5925","Validate Order Capture Header Text","chromium","Tue Apr 22 13:21:27 BST 2025","passed","Tue Apr 22 13:21:33 BST 2025","","","",""
"","5976","Validate Select Customer section info Slot","chromium","Tue Apr 22 13:21:39 BST 2025","passed","Tue Apr 22 13:21:45 BST 2025","","","",""
"","5464","Validate Product search input is present","chromium","Tue Apr 22 13:21:34 BST 2025","passed","Tue Apr 22 13:21:39 BST 2025","","","",""
